from,to
AM-4000-M1,MCC-1A
AM-4000-M2,MCC-1A
AM-4005-M1,MCC-1A
AM-4005-M2,MCC-1A
AM-4010-M1,MCC-1A
AM-4010-M2,MCC-1A
AM-4015-M1,MCC-1A
AM-4015-M2,MCC-1A
AM-4020-M1,MCC-1A
AM-4020-M2,MCC-1A
AM-4025-M1,MCC-1A
AM-4025-M2,MCC-1A
AM-4030-M1,MCC-1A
AM-4030-M2,MCC-1A
AM-4035-M1,MCC-1A
AM-4035-M2,MCC-1A
AM-4040-M1,MCC-1A
AM-4040-M2,MCC-1A
AM-4045-M1,MCC-1A
AM-4045-M2,MCC-1A
AM-4050-M1,MCC-1A
AM-4050-M2,MCC-1A
AM-4055-M1,MCC-1A
AM-4055-M2,MCC-1A
AM-6135-M1,MCC-1A
AM-3435-M1,MCC-1B
AM-3440-M1,MCC-1B
AM-4060-M1,MCC-1B
AM-4060-M2,MCC-1B
AM-4065-M1,MCC-1B
AM-4065-M2,MCC-1B
AM-4070-M1,MCC-1B
AM-4070-M2,MCC-1B
AM-4075-M1,MCC-1B
AM-4075-M2,MCC-1B
AM-4080-M1,MCC-1B
AM-4080-M2,MCC-1B
AM-4085-M1,MCC-1B
AM-4085-M2,MCC-1B
AM-4090-M1,MCC-1B
AM-4090-M2,MCC-1B
AM-4755-M1,MCC-1B
AM-4775-M1,MCC-1B
AM-4810-M1,MCC-1B
AM-4855-M1,MCC-1B
AM-4945-M1,MCC-1B
AM-5380-M1,MCC-1B
AM-5390-M1,MCC-1B
AM-5395-M1,MCC-1B
AM-5405-M1,MCC-1B
AM-6005-M1,MCC-1B
AM-6015-M1,MCC-1B
AM-6020-M1,MCC-1B
AM-6030-M1,MCC-1B
AM-6115-M1,MCC-1B
AM-6180-M1,MCC-1B
AM-6205-M1,MCC-1B
AM-8015-M1,MCC-1B
R-2000-M1,MCC-1E
R-2001-M1,MCC-1E
R-2005-M1,MCC-1E
R-2015-M1,MCC-1E
R-2020-M1,MCC-1E
R-2025-M1,MCC-1E
R-2026-M1,MCC-1E
R-2027-M1,MCC-1E
R-2030-M1,MCC-1E
R-2031-M1,MCC-1E
R-2032-M1,MCC-1E
R-2033-M1,MCC-1E
R-2035-M1,MCC-1E
R-2040-M1,MCC-1E
R-2045-M1,MCC-1E
R-2046-M1,MCC-1E
R-2047-M1,MCC-1E
R-2048-M1,MCC-1E
R-2049-M1,MCC-1E
R-2050-M1,MCC-1E
R-2055-M1,MCC-1E
R-2060-M1,MCC-1E
R-2065-M1,MCC-1E
R-8072-M1,MCC-1E
R-8074-M1,MCC-1E
R-8076-M1,MCC-1E
R-2121-M1,MCC-1F
R-2125-M1,MCC-1F
R-2125-M2,MCC-1F
R-2125-M3,MCC-1F
R-2125-M4,MCC-1F
R-2125-M5,MCC-1F
R-2127-M1,MCC-1F
R-2130-M1,MCC-1F
R-2133-M1,MCC-1F
R-2136-M1,MCC-1F
R-2140-M1,MCC-1F
R-2140-M2,MCC-1F
R-2140-M3,MCC-1F
R-2140-M4,MCC-1F
R-2140-M5,MCC-1F
R-2142-M1,MCC-1F
R-2145-M1,MCC-1F
R-2147-M1,MCC-1F
R-2155-M1,MCC-1F
R-2156-M1,MCC-1F
R-2160-M1,MCC-1F
R-2165-M1,MCC-1F
R-2175-M1,MCC-1F
R-2185-M1,MCC-1F
R-2195-M1,MCC-1F
R-2205-M1,MCC-1F
R-2215-M1,MCC-1F
R-2225-M1,MCC-1F
R-2235-M1,MCC-1F
R-2245-M1,MCC-1F
R-2250-M1,MCC-1F
R-8070-M1,MCC-1F
R-8070-M2,MCC-1F
AM-2535-M1,MCC-2A
AM-2555-M1,MCC-2A
AM-2575-M1,MCC-2A
AM-2595-M1,MCC-2A
AM-2615-M1,MCC-2A
AM-2635-M1,MCC-2A
AM-2650-M1,MCC-2A
AM-2655-M1,MCC-2A
AM-2660-M1,MCC-2A
AM-3175-M1,MCC-2A
AM-3210-M1,MCC-2A
AM-3220-M1,MCC-2A
AM-3230-M1,MCC-2A
AM-3275-M1,MCC-2A
AM-3280-M1,MCC-2A
